基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
007696,嘉实融享货币,货币型-浮动净值,139.65,嘉实基金,112.0572,张文玥,2019-08-21,None,None,6.85%,None
007869,汇添富汇鑫货币B,货币型-浮动净值,0.47,汇添富基金,110.3237,王骏杰,2020-08-26,None,None,5.47%,None
007868,汇添富汇鑫货币A,货币型-浮动净值,0.05,汇添富基金,109.5749,王骏杰,2020-08-26,None,None,5.02%,None
007746,华安现金润利,货币型-浮动净值,0.64,华安基金,109.1949,孙丽娜,2021-03-08,None,None,5.51%,None
007858,鹏华浮动净值型发起式货币,货币型-浮动净值,0.11,鹏华基金,107.3704,叶朝明,2019-08-29,None,None,4.36%,None
007805,华宝浮动净值货币,货币型-浮动净值,0.12,华宝基金,105.9490,陈昕,2019-09-06,0.12%,-1.01,4.19%,None
007708,中银瑞福浮动净值型货币A,货币型-浮动净值,0.01,中银基金,103.4475,范静,2019-09-10,None,None,4.89%,None
007709,中银瑞福浮动净值型货币C,货币型-浮动净值,0.06,中银基金,103.4475,范静,2019-09-10,None,None,4.99%,None
003816,银华日利B,货币型-普通货币,22.59,银华基金,101.0990,王树丽,2018-06-07,None,None,6.24%,11.36%
511880,银华日利A,货币型-普通货币,836.25,银华基金,100.9640,王树丽,2018-06-07,1.45%,0.20,5.47%,10.03%
184801,鹏华前海万科REITS,REITs,29.91,鹏华基金,99.3930,刘方正,2015-08-06,2.72%,-0.01,4.52%,19.19%
070002,嘉实增长混合,混合型-偏股,22.36,嘉实基金,13.9427,归凯,2018-12-04,15.65%,-1.09,-39.73%,22.11%
000011,华夏大盘精选混合A,混合型-灵活,32.63,华夏基金,12.6780,屠环宇,2024-03-26,18.01%,-0.83,-34.98%,4.70%
012628,华夏大盘精选混合C,混合型-灵活,0.13,华夏基金,12.3840,屠环宇,2024-03-26,18.01%,-0.86,-36.48%,None
910004,东方红启恒三年持有混合A,混合型-偏股,6.51,东方红资产管理,9.5163,张锋,2021-04-21,16.60%,-0.60,-23.42%,None
011724,东方红启恒三年持有混合B,混合型-偏股,99.46,东方红资产管理,9.1101,张锋,2021-04-21,16.60%,-0.68,-26.59%,None
166301,华商新趋势优选灵活配置混合,混合型-灵活,104.65,华商基金,9.0950,周海栋,2015-05-14,21.11%,0.36,30.11%,225.75%
260104,景顺长城内需增长混合,混合型-偏股,23.12,景顺长城基金,7.3680,刘彦春,2018-02-10,22.10%,-0.91,-46.07%,10.63%
162204,宏利行业精选混合A,混合型-偏股,6.62,宏利基金,6.3809,孟杰,2021-12-30,18.83%,-0.51,-22.47%,86.55%
015601,宏利行业精选混合C,混合型-偏股,0.47,宏利基金,6.2845,孟杰,2022-06-10,None,None,None,None
240008,华宝收益增长混合A,混合型-灵活,5.95,华宝基金,6.1898,毛文博,2015-04-09,19.72%,-0.64,-29.74%,26.90%
015573,华宝收益增长混合C,混合型-灵活,0.01,华宝基金,6.1064,毛文博,2022-04-22,None,None,None,None
660015,农银行业轮动混合A,混合型-偏股,4.52,农银汇理基金,5.8848,邢军亮,2021-07-15,26.69%,-0.13,-6.11%,111.81%
015850,农银行业轮动混合C,混合型-偏股,1.46,农银汇理基金,5.8364,邢军亮,2022-05-26,None,None,None,None
040035,华安逆向策略混合A,混合型-偏股,38.90,华安基金,5.5640,万建军,2022-01-26,19.77%,-0.36,-16.12%,104.94%
013638,华安逆向策略混合C,混合型-偏股,0.26,华安基金,5.4750,万建军,2022-01-26,None,None,None,None
000929,博时黄金D,指数型-其他,0.08,博时基金,5.4639,赵云阳,2015-10-08,11.21%,1.10,47.59%,72.04%
090018,大成新锐产业混合A,混合型-偏股,71.90,大成基金,5.4040,韩创,2019-01-10,20.97%,0.12,12.40%,223.40%
018460,大成新锐产业混合C,混合型-偏股,0.41,大成基金,5.3760,韩创,2023-05-31,None,None,None,None
000930,博时黄金I,指数型-其他,4.22,博时基金,5.3646,赵云阳,2015-10-08,11.21%,1.10,47.57%,71.96%
070006,嘉实服务增值行业混合,混合型-灵活,10.12,嘉实基金,5.2810,常蓁,2019-11-19,17.08%,-1.12,-44.06%,2.00%
006011,中信保诚稳鸿A,债券型-长债,2.97,中信保诚基金,5.2350,陈岚,2024-05-15,0.79%,3.36,13.03%,25.07%
021521,中信保诚稳鸿E,债券型-长债,None,中信保诚基金,5.2331,陈岚,2024-05-28,None,None,None,None
519091,新华泛资源优势混合,混合型-灵活,7.49,新华基金,5.0138,赖庆鑫,2023-11-23,20.84%,-0.46,-22.55%,88.42%
630002,华商盛世成长混合,混合型-偏股,39.62,华商基金,4.9815,周海栋,2017-12-21,20.88%,0.29,24.22%,104.18%
288002,华夏收入混合,混合型-偏股,15.79,华夏基金,4.9450,郑煜,2009-02-04,19.50%,-0.79,-36.14%,10.65%
040005,华安宏利混合A,混合型-偏股,19.42,华安基金,4.9125,王春,2015-10-28,23.02%,-0.81,-42.99%,-0.63%
016294,华安宏利混合C,混合型-偏股,0.01,华安基金,4.8579,王春,2022-08-11,None,None,None,None
000083,汇添富消费行业混合,混合型-偏股,139.09,汇添富基金,4.7690,胡昕炜,2016-04-08,22.30%,-0.90,-45.83%,11.17%
110011,易方达优质精选混合(QDII),QDII-混合偏股,143.85,易方达基金,4.5918,张坤,2012-09-28,25.13%,-0.73,-42.33%,9.81%
000547,建信健康民生混合A,混合型-偏股,8.58,建信基金,4.5640,马牧青,2024-03-29,19.35%,-0.47,-21.04%,84.33%
014849,建信健康民生混合C,混合型-偏股,1.28,建信基金,4.5210,马牧青,2024-03-29,None,None,None,None
960007,摩根新兴动力混合H,混合型-偏股,1.09,摩根资产管理,4.4960,杜猛,2015-07-24,26.58%,-0.54,-33.56%,75.69%
377240,摩根新兴动力混合A,混合型-偏股,44.58,摩根资产管理,4.4908,杜猛,2011-07-13,26.58%,-0.53,-33.48%,75.83%
519002,华安安信消费混合A,混合型-偏股,41.26,华安基金,4.4840,王斌,2018-10-31,15.48%,0.14,11.49%,172.25%
920019,中金优势领航一年持有混合A,混合型-偏股,0.97,中金公司,4.4556,杨钊,2022-11-03,None,None,None,None
014642,摩根新兴动力混合C,混合型-偏股,2.41,摩根资产管理,4.4367,杜猛,2021-12-24,None,None,None,None
040025,华安科技动力混合A,混合型-偏股,13.92,华安基金,4.4190,李欣,2019-11-08,26.86%,-0.42,-26.50%,42.04%
013686,华安安信消费混合C,混合型-偏股,2.87,华安基金,4.4130,王斌,2021-10-18,None,None,None,None
970206,中金优势领航一年持有混合C,混合型-偏股,0.03,中金公司,4.4125,杨钊,2022-11-03,None,None,None,None
110001,易方达平稳增长混合,混合型-平衡,27.49,易方达基金,4.3640,陈皓,2012-09-28,14.20%,-0.46,-14.38%,63.10%
014975,华安科技动力混合C,混合型-偏股,0.28,华安基金,4.3630,李欣,2022-04-27,None,None,None,None
180012,银华富裕主题混合A,混合型-偏股,127.48,银华基金,4.3353,焦巍,2018-12-27,22.05%,-0.95,-47.78%,31.21%
015233,银华富裕主题混合C,混合型-偏股,0.21,银华基金,4.3091,焦巍,2023-05-26,None,None,None,None
590008,中邮战略新兴产业混合,混合型-偏股,7.73,中邮基金,4.2870,吴尚,2022-02-09,27.41%,-0.57,-36.69%,22.07%
000308,建信创新中国混合,混合型-偏股,8.20,建信基金,4.2800,邵卓,2015-05-22,20.50%,-0.43,-20.16%,52.91%
002031,华夏策略混合,混合型-灵活,5.25,华夏基金,4.2540,陈伟彦,2024-03-26,16.04%,-0.85,-32.02%,20.34%
006210,东方臻宝纯债债券A,债券型-长债,11.57,东方基金,4.2188,郑雪莹,2020-05-11,0.59%,7.45,18.75%,25.28%
700003,平安策略先锋混合,混合型-灵活,17.39,平安基金,4.1910,神爱前,2016-07-19,26.43%,-0.24,-13.68%,137.18%
270008,广发核心精选混合,混合型-偏股,8.46,广发基金,4.1660,程琨,2018-11-05,17.34%,-0.37,-14.19%,44.50%
519732,交银定期支付双息平衡混合,混合型-平衡,31.15,交银施罗德基金,4.1600,黄鼎,2021-09-29,15.66%,-0.66,-24.24%,34.98%
519702,交银趋势混合A,混合型-偏股,54.75,交银施罗德基金,4.1398,杨金金,2020-05-06,16.37%,0.43,28.03%,191.70%
000584,新华鑫益灵活配置混合C,混合型-灵活,2.22,新华基金,4.1015,赖庆鑫,2023-11-23,22.31%,-0.45,-23.70%,101.65%
013430,交银趋势混合C,混合型-偏股,6.57,交银施罗德基金,4.0701,杨金金,2021-08-27,None,None,None,None
000628,大成高新技术产业股票A,股票型,69.32,大成基金,4.0669,刘旭,2015-07-29,14.00%,0.51,28.13%,128.35%
000418,景顺长城成长之星股票A,股票型,6.15,景顺长城基金,4.0340,周寒颖,2020-05-21,16.60%,-0.18,-4.41%,117.58%
021503,景顺长城成长之星股票C,股票型,None,景顺长城基金,4.0330,周寒颖,2024-05-17,None,None,None,None
011066,大成高新技术产业股票C,股票型,30.94,大成基金,4.0107,刘旭,2020-12-25,14.01%,0.48,26.60%,None
004685,金元顺安元启灵活配置混合,混合型-灵活,12.94,金元顺安基金,3.9968,缪玮彬,2017-11-14,17.10%,1.35,93.28%,248.52%
519674,银河创新成长混合A,混合型-偏股,103.71,银河基金,3.9899,郑巍山,2019-05-11,32.38%,-0.64,-47.14%,51.28%
960016,交银成长混合H,混合型-偏股,0.01,交银施罗德基金,3.9683,王少成,2015-11-17,19.25%,-0.92,-41.28%,8.72%
014143,银河创新成长混合C,混合型-偏股,14.95,银河基金,3.9285,郑巍山,2021-11-22,None,None,None,None
165516,中信保诚周期轮动混合(LOF)A,混合型-偏股,10.41,中信保诚基金,3.9077,孙浩中,2023-09-08,27.38%,-0.50,-32.43%,119.59%
020023,国泰事件驱动策略混合A,混合型-偏股,1.57,国泰基金,3.8950,林小聪,2017-06-19,20.69%,-0.89,-42.75%,68.54%
519692,交银成长混合A,混合型-偏股,17.15,交银施罗德基金,3.8878,王少成,2015-03-24,19.25%,-0.92,-41.10%,10.70%
014335,中信保诚周期轮动混合(LOF)C,混合型-偏股,0.08,中信保诚基金,3.8499,孙浩中,2023-09-08,None,None,None,None
015592,国泰事件驱动策略混合C,混合型-偏股,0.14,国泰基金,3.8436,林小聪,2022-05-20,None,None,None,None
519679,银河主题混合A,混合型-偏股,3.66,银河基金,3.8138,祝建辉,2023-03-31,24.54%,-0.87,-48.48%,21.85%
000480,东方红新动力混合A,混合型-灵活,18.68,东方红资产管理,3.8100,周云,2015-09-14,15.51%,-0.06,1.68%,68.58%
110013,易方达科翔混合,混合型-偏股,46.52,易方达基金,3.8010,陈皓,2014-05-10,18.22%,-0.55,-23.67%,77.78%
018888,银河主题混合C,混合型-偏股,0.00,银河基金,3.8005,祝建辉,2023-08-04,None,None,None,None
000746,招商行业精选股票基金,股票型,25.21,招商基金,3.7900,李崟,2024-05-31,19.12%,-0.25,-9.59%,122.55%
470009,汇添富民营活力混合,混合型-偏股,21.37,汇添富基金,3.7850,马翔,2016-03-11,21.22%,-0.67,-33.46%,30.97%
519095,新华行业周期轮换混合A,混合型-偏股,1.70,新华基金,3.7818,张大江,2023-01-09,23.15%,-0.42,-22.49%,127.27%
017493,东方红新动力混合C,混合型-灵活,2.37,东方红资产管理,3.7790,周云,2022-12-05,None,None,None,None
720001,财通价值动量混合A,混合型-灵活,17.59,财通基金,3.7720,金梓才,2014-11-19,32.31%,-0.11,-5.68%,107.59%
000404,易方达新兴成长灵活配置,混合型-灵活,34.96,易方达基金,3.7680,蔡荣成,2023-05-06,27.84%,-0.43,-28.08%,90.40%
000259,农银区间收益混合,混合型-灵活,4.88,农银汇理基金,3.7419,魏刚,2020-01-31,17.54%,-0.43,-17.10%,68.40%
519697,交银优势行业混合,混合型-灵活,41.94,交银施罗德基金,3.7150,何帅,2015-07-09,17.63%,-0.68,-28.28%,20.47%
240009,华宝先进成长混合,混合型-偏股,7.82,华宝基金,3.7123,闫旭,2021-12-21,21.07%,-0.86,-42.16%,29.23%
001887,中欧价值智选混合E,混合型-灵活,1.60,中欧基金,3.6889,袁维德,2020-05-15,22.28%,-0.59,-30.83%,69.96%
920003,中金新锐股票A,股票型,18.52,中金公司,3.6681,朱剑胜,2022-03-02,22.01%,-0.03,2.45%,None
519760,交银新回报灵活配置混合C,混合型-灵活,64.61,交银施罗德基金,3.6420,王艺伟,2020-07-09,2.21%,-0.51,1.12%,26.39%
540006,汇丰晋信大盘股票A,股票型,22.26,汇丰晋信基金,3.6247,闵良超,2023-03-18,18.54%,-0.69,-30.06%,7.44%
000592,建信改革红利股票A,股票型,5.68,建信基金,3.6190,陶灿,2014-05-14,24.59%,-0.60,-34.96%,84.36%
019243,汇丰晋信大盘股票C,股票型,0.87,汇丰晋信基金,3.6159,闵良超,2023-11-13,None,None,None,None
000619,东方红产业升级混合,混合型-灵活,35.59,东方红资产管理,3.5920,王延飞,2015-06-26,19.33%,-0.71,-32.19%,11.62%
016269,建信改革红利股票C,股票型,0.35,建信基金,3.5920,陶灿,2022-07-22,None,None,None,None
920923,中金新锐股票C,股票型,4.22,中金公司,3.5917,朱剑胜,2022-03-02,22.01%,-0.05,0.92%,None
910024,东方红启阳三年持有混合A,混合型-偏股,3.85,东方红资产管理,3.5750,郭乃幸,2021-03-15,18.99%,-0.64,-28.68%,None
370024,摩根核心优选混合A,混合型-偏股,5.58,摩根资产管理,3.5704,倪权生,2022-08-18,21.12%,-0.89,-43.62%,49.14%
240022,华宝资源优选混合A,混合型-偏股,13.50,华宝基金,3.5490,蔡目荣,2012-08-21,22.64%,0.17,16.82%,156.06%
003105,光大永鑫混合A,混合型-灵活,0.04,光大保德信基金,3.5480,詹佳,2020-05-23,3.83%,-0.17,2.52%,31.72%
003106,光大永鑫混合C,混合型-灵活,0.03,光大保德信基金,3.5280,詹佳,2020-05-23,3.82%,-0.20,2.24%,31.08%
160916,大成优选混合(LOF)A,混合型-偏股,13.13,大成基金,3.5240,戴军,2015-05-21,14.74%,-0.46,-15.02%,46.61%
015057,摩根核心优选混合C,混合型-偏股,0.00,摩根资产管理,3.5201,倪权生,2022-08-18,None,None,None,None
011068,华宝资源优选混合C,混合型-偏股,5.74,华宝基金,3.5010,蔡目荣,2020-12-23,22.62%,0.15,15.43%,None
018008,大成优选混合(LOF)C,混合型-偏股,0.40,大成基金,3.4970,戴军,2023-03-02,None,None,None,None
377010,摩根阿尔法混合A,混合型-偏股,7.63,摩根资产管理,3.4777,李博,2015-09-18,18.66%,-0.86,-37.56%,21.47%
910009,东方红启程三年持有混合A,混合型-偏股,4.18,东方红资产管理,3.4490,傅奕翔,2022-07-04,22.84%,-0.90,-46.76%,None
910005,东方红启兴三年持有混合A,混合型-偏股,3.46,东方红资产管理,3.4422,杨仁眉,2021-10-29,None,None,None,None
270028,广发制造业精选混合A,混合型-偏股,27.87,广发基金,3.4420,李巍,2011-09-20,25.89%,-0.54,-32.70%,81.26%
010441,东方红启兴三年持有混合B,混合型-偏股,None,东方红资产管理,3.4365,杨仁眉,2024-04-18,None,None,None,None
015637,摩根阿尔法混合C,混合型-偏股,0.00,摩根资产管理,3.4340,李博,2022-05-06,None,None,None,None
090015,大成内需增长混合A,混合型-偏股,2.00,大成基金,3.3920,张烨,2019-09-29,17.68%,-0.82,-33.96%,33.23%
010023,广发制造业精选混合C,混合型-偏股,2.35,广发基金,3.3910,李巍,2020-09-22,25.88%,-0.55,-33.51%,None
960018,大成内需增长混合H,混合型-偏股,0.35,大成基金,3.3880,张烨,2019-09-29,17.68%,-0.82,-34.01%,33.07%
019255,大成内需增长混合C,混合型-偏股,0.00,大成基金,3.3770,张烨,2023-09-27,None,None,None,None
010225,东方红启航三年持有混合B,混合型-偏股,8.62,东方红资产管理,3.3769,李竞,2020-10-29,22.80%,-0.72,-38.27%,None
910022,东方红启航三年持有混合A,混合型-偏股,5.20,东方红资产管理,3.3767,李竞,2020-10-29,22.80%,-0.72,-38.27%,None
400007,东方策略成长混合,混合型-偏股,1.33,东方基金,3.3742,王然,2015-05-04,17.79%,-0.92,-38.25%,28.52%
002061,国泰安康定期支付混合C,混合型-偏债,0.16,国泰基金,3.3520,茅利伟,2024-01-16,3.87%,-0.65,-3.04%,25.40%
202023,南方优选成长混合A,混合型-灵活,27.96,南方基金,3.3515,骆帅,2015-06-19,13.04%,-1.05,-32.28%,22.18%
217021,招商优势企业混合A,混合型-偏股,39.18,招商基金,3.3499,翟相栋,2022-04-29,28.43%,0.00,4.75%,56.90%
166019,中欧价值智选混合A,混合型-灵活,33.55,中欧基金,3.3428,袁维德,2020-05-15,22.29%,-0.59,-30.83%,69.69%
910021,东方红启华三年持有混合A,混合型-偏股,3.14,东方红资产管理,3.3416,蔡志鹏,2021-04-22,16.47%,-0.65,-25.32%,None
110022,易方达消费行业股票,股票型,218.94,易方达基金,3.3240,萧楠,2012-09-28,21.12%,-0.67,-33.19%,14.82%
002258,大成国企改革灵活配置混合A,混合型-灵活,14.61,大成基金,3.3170,韩创,2021-01-13,20.88%,0.39,31.94%,221.41%
017821,招商优势企业混合C,混合型-偏股,14.97,招商基金,3.3168,翟相栋,2023-01-30,None,None,None,None
001856,易方达环保主题混合A,混合型-灵活,50.89,易方达基金,3.3130,祁禾,2017-12-27,24.04%,-0.10,-2.59%,165.04%
019197,大成国企改革灵活配置混合C,混合型-灵活,0.28,大成基金,3.3050,韩创,2023-09-11,None,None,None,None
019032,易方达环保主题混合C,混合型-灵活,4.71,易方达基金,3.3040,祁禾,2023-11-15,None,None,None,None
001718,工银物流产业股票A,股票型,17.32,工银瑞信基金,3.2970,张宇帆,2016-03-01,18.59%,-0.22,-7.47%,130.72%
011313,东方红启华三年持有混合B,混合型-偏股,0.81,东方红资产管理,3.2836,蔡志鹏,2021-07-26,None,None,None,None
015001,工银物流产业股票C,股票型,1.85,工银瑞信基金,3.2780,张宇帆,2022-02-11,None,None,None,None
910006,东方红启盛三年持有混合A,混合型-偏股,5.38,东方红资产管理,3.2762,郭乃幸,2021-04-12,18.72%,-0.67,-29.62%,None
162202,宏利周期混合,混合型-偏股,7.10,宏利基金,3.2307,庄腾飞,2024-01-03,23.98%,0.00,4.70%,164.66%
010442,东方红启盛三年持有混合B,混合型-偏股,5.14,东方红资产管理,3.2185,郭乃幸,2021-07-08,None,None,None,None
660004,农银策略价值混合,混合型-偏股,4.81,农银汇理基金,3.2003,陈富权,2015-06-06,17.20%,-0.67,-27.04%,68.60%
001487,宝盈优势产业混合A,混合型-灵活,9.87,宝盈基金,3.1844,杨思亮,2023-03-11,18.12%,0.07,8.57%,145.90%
015692,富国通胀通缩主题轮动混合C,混合型-偏股,3.34,富国基金,3.1800,曹晋,2022-06-16,None,None,None,None
000577,安信价值精选股票,股票型,16.54,安信基金,3.1780,陈一峰,2014-04-21,17.27%,-0.92,-37.07%,11.55%
690007,民生加银景气行业混合A,混合型-偏股,9.92,民生加银基金,3.1610,王亮,2018-11-01,16.67%,-1.10,-42.43%,10.68%
005206,南方优选成长混合C,混合型-灵活,1.21,南方基金,3.1566,骆帅,2017-12-01,13.05%,-1.10,-33.89%,17.39%
100039,富国通胀通缩主题轮动混合A,混合型-偏股,4.84,富国基金,3.2180,曹晋,2019-02-01,22.60%,-0.47,-25.16%,78.88%
000991,工银战略转型股票A,股票型,26.29,工银瑞信基金,3.1540,杜洋,2015-02-16,17.21%,-0.26,-8.69%,153.13%
240002,华宝宝康配置混合,混合型-灵活,3.58,华宝基金,3.1517,汤慧,2021-01-04,11.75%,-0.47,-11.53%,68.85%
000136,民生加银策略精选混合A,混合型-灵活,16.73,民生加银基金,3.1470,孙伟,2014-07-07,20.24%,-0.79,-37.61%,39.25%
012771,宝盈优势产业混合C,混合型-灵活,4.55,宝盈基金,3.1470,杨思亮,2023-03-11,18.12%,0.05,7.28%,None
000527,南方新优享灵活配置混合A,混合型-灵活,36.61,南方基金,3.1383,章晖,2015-05-28,17.60%,-1.08,-43.95%,25.68%
200015,长城优化升级混合A,混合型-偏股,1.96,长城基金,3.1368,周诗博,2021-01-04,22.87%,-0.41,-21.98%,66.31%
377150,摩根健康品质生活混合A,混合型-偏股,10.87,摩根资产管理,3.1356,徐项楠,2021-11-12,22.97%,-0.64,-34.45%,41.05%
320018,诺安新动力灵活配置混合A,混合型-灵活,1.07,诺安基金,3.1330,杨琨,2014-06-07,15.81%,-0.37,-12.34%,63.52%
260116,景顺长城核心竞争力混合A,混合型-偏股,21.08,景顺长城基金,3.1220,余广,2011-12-20,18.92%,-0.32,-13.25%,39.86%
519704,交银先进制造混合A,混合型-偏股,49.99,交银施罗德基金,3.1205,刘鹏,2018-05-29,19.27%,-0.62,-28.41%,77.57%
519672,银河蓝筹混合A,混合型-偏股,3.83,银河基金,3.1200,袁曦,2015-12-28,26.74%,-0.69,-42.72%,35.89%
004235,中欧价值智选混合C,混合型-灵活,14.98,中欧基金,3.1199,袁维德,2020-05-15,22.28%,-0.62,-32.47%,63.13%
960008,景顺长城核心竞争力混合H,混合型-偏股,0.30,景顺长城基金,3.1030,余广,2015-10-16,18.92%,-0.33,-13.48%,39.26%
014551,诺安新动力灵活配置混合C,混合型-灵活,0.08,诺安基金,3.1030,杨琨,2022-10-15,None,None,None,None
015731,景顺长城核心竞争力混合C,混合型-偏股,3.19,景顺长城基金,3.1030,余广,2022-06-02,None,None,None,None
009720,民生加银景气行业混合C,混合型-偏股,0.07,民生加银基金,3.1020,王亮,2020-09-10,16.65%,-1.12,-43.29%,None
011473,工银战略转型股票C,股票型,1.43,工银瑞信基金,3.1010,杜洋,2021-02-05,17.20%,-0.29,-10.06%,None
015346,摩根健康品质生活混合C,混合型-偏股,3.41,摩根资产管理,3.1001,徐项楠,2022-03-10,None,None,None,None
001018,易方达新经济混合,混合型-灵活,43.73,易方达基金,3.0990,陈皓,2015-02-12,18.65%,-0.43,-18.17%,97.64%
014963,交银先进制造混合C,混合型-偏股,0.39,交银施罗德基金,3.0905,刘鹏,2022-01-24,None,None,None,None
009709,民生加银策略精选混合C,混合型-灵活,0.87,民生加银基金,3.0880,孙伟,2020-09-10,20.24%,-0.81,-38.52%,None
013274,长城优化升级混合C,混合型-偏股,0.17,长城基金,3.0832,周诗博,2021-08-11,None,None,None,None
161706,招商优质成长混合(LOF),混合型-偏股,17.09,招商基金,3.0693,吴潇,2024-06-01,19.02%,-0.28,-11.10%,100.61%
015669,银河蓝筹混合C,混合型-偏股,0.01,银河基金,3.0690,袁曦,2022-05-23,None,None,None,None
519909,华安安顺灵活配置混合A,混合型-灵活,7.87,华安基金,3.0610,高钥群,2019-11-08,18.64%,-0.44,-18.98%,81.77%
000336,农银研究精选混合,混合型-灵活,26.13,农银汇理基金,3.0543,魏刚,2022-03-23,22.18%,-0.54,-28.39%,169.10%
050011,博时信用债券A/B,债券型-混合二级,49.57,博时基金,3.0502,过钧,2009-06-10,11.20%,-0.23,-3.14%,21.76%
163822,中银主题策略混合A,混合型-偏股,18.15,中银基金,3.0440,黄珺,2019-03-13,22.03%,-0.36,-18.08%,97.92%
540004,汇丰晋信2026周期混合,混合型-偏债,0.99,汇丰晋信基金,3.0404,闵良超,2021-09-30,8.39%,0.03,5.40%,59.39%
001606,农银工业4.0混合,混合型-灵活,29.83,农银汇理基金,3.0392,张燕,2022-03-23,25.55%,-0.40,-23.75%,164.58%
016564,华安安顺灵活配置混合C,混合型-灵活,0.12,华安基金,3.0380,高钥群,2022-11-03,None,None,None,None
020015,国泰区位优势混合A,混合型-偏股,1.74,国泰基金,3.0279,智健,2021-11-12,22.33%,-0.71,-37.32%,25.43%
001694,华安沪港深外延增长灵活配置混合A,混合型-灵活,27.49,华安基金,3.0270,胡宜斌,2022-01-26,23.47%,-0.48,-26.74%,92.56%
015386,中银主题策略混合C,混合型-偏股,4.54,中银基金,3.0160,黄珺,2022-03-16,None,None,None,None
530012,建信积极配置混合,混合型-平衡,1.43,建信基金,3.0150,姚锦,2014-01-20,12.40%,-0.70,-20.09%,35.08%
110002,易方达策略成长混合,混合型-偏股,7.87,易方达基金,3.0100,张琦,2022-04-21,21.24%,-0.74,-36.95%,3.63%
006590,南方新优享灵活配置混合C,混合型-灵活,1.97,南方基金,3.0053,章晖,2018-12-18,17.60%,-1.12,-45.29%,20.74%
000574,宝盈新价值混合A,混合型-灵活,11.43,宝盈基金,3.0050,杨思亮,2020-04-09,16.02%,0.18,13.52%,105.26%
163415,兴全商业模式优选混合,混合型-偏股,108.96,兴证全球基金,2.9960,乔迁,2018-07-10,18.18%,-0.54,-22.70%,61.95%
000039,农银高增长混合,混合型-偏股,2.40,农银汇理基金,2.9932,张燕,2017-03-21,28.40%,-0.24,-14.92%,79.81%
121010,国投瑞银瑞源灵活配置混合A,混合型-灵活,8.53,国投瑞银基金,2.9893,綦缚鹏,2020-07-10,11.30%,0.12,8.71%,118.17%
014972,华安沪港深外延增长灵活配置混合C,混合型-灵活,1.36,华安基金,2.9890,胡宜斌,2022-05-10,None,None,None,None
000409,鹏华环保产业股票,股票型,16.45,鹏华基金,2.9890,孟昊,2019-07-24,28.42%,-0.58,-38.52%,96.64%
015594,国泰区位优势混合C,混合型-偏股,0.10,国泰基金,2.9864,智健,2022-05-16,None,None,None,None
000220,富国医疗保健行业混合A,混合型-偏股,9.97,富国基金,2.9860,孙笑悦,2020-04-13,26.50%,-0.80,-48.30%,32.36%
005855,中科沃土沃瑞混合A,混合型-灵活,0.41,中科沃土基金,2.9859,徐伟,2022-03-01,17.33%,-0.08,0.21%,183.48%
000729,建信中小盘先锋股票A,股票型,14.86,建信基金,2.9800,周智硕,2020-09-18,22.68%,-0.09,-1.78%,138.21%
000124,华宝服务优选混合,混合型-偏股,5.22,华宝基金,2.9740,蔡目荣,2022-10-19,20.93%,-0.56,-27.46%,79.05%
110023,易方达医疗保健行业混合A,混合型-偏股,57.24,易方达基金,2.9690,杨桢霄,2016-08-20,24.90%,-0.57,-33.24%,58.69%
260101,景顺长城优选混合,混合型-偏股,38.74,景顺长城基金,2.9646,杨锐文,2014-10-25,19.94%,-0.71,-33.19%,42.07%
015572,国投瑞银瑞源灵活配置混合C,混合型-灵活,1.73,国投瑞银基金,2.9635,綦缚鹏,2022-04-20,None,None,None,None
019020,易方达医疗保健行业混合C,混合型-偏股,1.82,易方达基金,2.9590,杨桢霄,2023-10-18,None,None,None,None
660012,农银消费主题混合A,混合型-偏股,5.02,农银汇理基金,2.9588,徐文卉,2017-05-16,16.12%,-1.14,-42.46%,35.96%
001315,易方达新益混合E,混合型-灵活,0.22,易方达基金,2.9530,杨康,2022-08-06,5.59%,-0.10,2.84%,50.53%
013919,建信中小盘先锋股票C,股票型,1.93,建信基金,2.9480,周智硕,2021-10-27,None,None,None,None
519736,交银新成长混合,混合型-偏股,79.54,交银施罗德基金,2.9380,王崇,2014-10-22,17.62%,-0.83,-34.42%,31.34%
519120,浦银安盛新兴产业混合A,混合型-灵活,1.64,浦银安盛基金,2.9375,李浩玄,2023-03-03,23.20%,-0.32,-16.44%,99.51%
050111,博时信用债券C,债券型-混合二级,7.00,博时基金,2.9288,过钧,2009-06-10,11.19%,-0.26,-4.16%,19.64%
011151,富国医疗保健行业混合C,混合型-偏股,0.44,富国基金,2.9250,孙笑悦,2020-12-28,26.50%,-0.82,-49.21%,None
270021,广发聚瑞混合A,混合型-偏股,12.87,广发基金,2.9245,费逸,2017-07-19,23.77%,-0.80,-44.08%,38.93%
470098,汇添富逆向投资混合A,混合型-偏股,8.57,汇添富基金,2.9220,董超,2020-06-29,19.79%,-0.66,-30.84%,54.36%
005660,嘉实资源精选股票A,股票型,4.27,嘉实基金,2.9156,刘杰,2024-03-23,21.69%,0.15,14.60%,163.07%
001323,东吴移动互联混合A,混合型-灵活,7.84,东吴基金,2.9133,刘元海,2016-04-27,33.87%,0.35,45.32%,223.70%
