基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
399001,中海上证50指数增强,指数型-股票,2.99,中海基金,1.1120,梅寓寒,2021-09-04,15.54%,-0.58,-20.90%,2.19%
006935,平安3-5年政策性金融债C,债券型-长债,0.01,平安基金,1.1120,张璐,2023-06-28,1.06%,1.45,9.40%,22.71%
015041,西部利得新富混合C,混合型-灵活,0.08,西部利得基金,1.1120,林静,2022-02-09,None,None,None,None
018225,大成策略回报混合C,混合型-偏股,9.02,大成基金,1.1120,徐彦,2023-03-30,None,None,None,None
012233,招商安盈债券C,债券型-混合二级,2.98,招商基金,1.1119,尹晓红,2021-05-13,4.12%,0.88,16.12%,None
004532,民生加银港股通高股息A,指数型-股票,0.15,民生加银基金,1.1118,何江,2022-02-28,21.15%,-0.20,-8.07%,18.19%
005354,富国沪港深行业精选混合A,混合型-灵活,17.10,富国基金,1.1118,汪孟海,2017-12-11,20.94%,-0.69,-33.89%,11.30%
007532,国泰盛合三个月定开债,债券型-长债,27.19,国泰基金,1.1118,李铭一,2023-04-11,0.57%,3.37,10.64%,None
001126,摩根卓越制造股票A,股票型,7.98,摩根资产管理,1.1117,李德辉,2018-06-15,19.88%,-0.83,-38.62%,60.73%
007067,浦银安盛先进制造混合C,混合型-偏股,1.70,浦银安盛基金,1.1117,杨岳斌,2020-01-14,14.72%,-0.49,-16.17%,None
009093,华泰柏瑞鸿利中短债A,债券型-中短债,3.71,华泰柏瑞基金,1.1117,郑青,2021-01-05,0.27%,6.67,10.17%,None
519015,海富通精选贰号混合,混合型-偏股,2.73,海富通基金,1.1116,黄峰,2019-06-03,23.06%,-0.58,-31.43%,14.83%
010169,天弘安利短债C,债券型-中短债,51.25,天弘基金,1.1116,刘莹,2020-11-24,0.23%,5.66,8.68%,None
005580,光大晟利债券C,债券型-长债,0.22,光大保德信基金,1.1116,邹强,2020-09-03,9.80%,-0.04,3.30%,8.00%
008964,华泰紫金中债1-5年国开债指数A,指数型-固收,11.08,华泰证券(上海)资产管理,1.1115,杨义山,2020-08-27,0.99%,1.95,10.63%,None
014459,南方1-5年国开债E,指数型-固收,1.59,南方基金,1.1115,董浩,2021-12-20,None,None,None,None
019260,富国恒生港股通高股息低波动ETF发起式联接A,指数型-股票,0.19,富国基金,1.1114,田希蒙,2023-09-12,None,None,None,None
003041,鑫元得利债券,债券型-长债,10.48,鑫元基金,1.1113,徐文祥,2024-06-28,0.57%,4.20,12.13%,20.03%
004366,博时汇享纯债债券A,债券型-长债,10.51,博时基金,1.1113,王帅,2022-01-24,2.32%,1.36,14.64%,19.72%
006798,嘉实中短债债券C,债券型-中短债,12.94,嘉实基金,1.1113,李金灿,2019-01-25,0.44%,3.75,9.78%,16.77%
872017,广发资管昭利中短债C,债券型-中短债,1.31,广发资产管理,1.1113,叶盛,2023-06-15,0.40%,2.73,7.98%,None
020475,中欧产业优选混合C,混合型-偏股,0.00,中欧基金,1.1113,叶培培,2023-12-27,None,None,None,None
007508,大成中债3-5年国开债C,指数型-固收,0.01,大成基金,1.1112,刘传毅,2023-12-07,1.27%,1.86,12.06%,19.63%
008662,中银澳享一年定开债发起式,债券型-长债,5.36,中银基金,1.1112,武苇杭,2024-01-29,None,None,11.51%,None
008906,嘉合锦鹏添利混合C,混合型-偏债,8.48,嘉合基金,1.1112,于启明,2020-04-29,4.20%,0.29,8.44%,None
009202,中邮优享一年定开混合C,混合型-偏债,0.17,中邮基金,1.1111,衣瑛杰,2022-03-31,None,None,4.85%,None
970098,东证融汇鑫享30天滚动持有中短债A,债券型-混合一级,15.09,东证融汇证券资产管理,1.1111,应洁茜,2021-11-26,None,None,None,None
018195,建信新材料精选股票发起C,股票型,0.02,建信基金,1.1111,江映德,2023-08-22,None,None,None,None
000061,华夏盛世混合,混合型-偏股,12.87,华夏基金,1.1110,郑煜,2021-09-16,20.28%,-0.50,-23.64%,79.19%
590009,中邮稳定收益债券A,债券型-长债,35.06,中邮基金,1.1110,闫宜乘,2020-09-02,1.08%,2.62,13.56%,21.61%
009810,易方达悦通一年持有期混合A,混合型-偏债,2.84,易方达基金,1.1110,张雅君,2020-12-16,None,None,7.35%,None
014112,嘉实对冲套利定期混合C,混合型-绝对收益,0.00,嘉实基金,1.1110,方晗,2021-11-12,None,None,None,None
519740,交银丰盈收益债券A,债券型-长债,10.61,交银施罗德基金,1.1109,连端清,2015-08-04,0.59%,3.17,10.40%,16.54%
970096,东证融汇禧悦90天滚动持有中短债A,债券型-混合一级,119.30,东证融汇证券资产管理,1.1109,应洁茜,2021-12-15,None,None,None,None
016557,长盛安鑫中短债E,债券型-中短债,1.91,长盛基金,1.1109,张建,2022-08-29,None,None,None,None
