代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
003718,易方达标普500指数（QDII-LOF）A(美元现汇份额),QDII美国股票,5,2,2024-07-03,$0.3415,0.0016,14.87
000390,华商优势行业混合,积极配置 - 大盘平衡,5,5,2024-07-04,1.0010,-0.0100,-0.79
011066,大成高新技术产业股票C,大盘平衡股票,5,0,2024-07-04,4.0192,0.0005,16.13
630002,华商盛世成长混合,积极配置 - 大盘平衡,5,4,2024-07-04,4.9073,-0.0545,-1.69
009849,安信稳健聚申一年持有期混合A,沪港深灵活配置,5,0,2024-07-04,1.1880,-0.0057,8.51
006567,中泰星元价值优选灵活配置混合A,积极配置 - 大盘平衡,5,5,2024-07-04,2.4470,-0.0084,9.11
006809,泰康港股通中证香港银行投资指数A,香港股票,5,5,2024-07-04,1.1105,0.0115,21.58
161611,融通内需驱动混合A/B,积极配置 - 中小盘,5,5,2024-07-04,2.8430,0.0020,7.08
009907,湘财长泽灵活配置混合A,灵活配置,5,0,2024-07-04,1.1330,-0.0050,1.25
005576,华泰柏瑞新金融地产灵活配置混合A,沪港深积极配置,5,4,2024-07-04,1.3895,-0.0132,17.37
010661,安信稳健聚申一年持有期混合C,沪港深灵活配置,5,0,2024-07-04,1.1788,-0.0058,8.22
011128,华安精致生活混合A,沪港深积极配置,5,0,2024-07-04,1.2518,-0.0064,11.95
519198,万家颐和灵活配置混合A,灵活配置,5,5,2024-07-04,1.4848,-0.0116,6.61
002644,大成景荣债券A,普通债券,5,5,2024-07-04,1.1711,0.0002,3.00
501025,鹏华港股通中证香港银行投资指数（LOF）A,香港股票,5,4,2024-07-04,1.2099,0.0123,20.48
011174,中庚价值品质一年持有期混合,沪港深积极配置,5,0,2024-07-04,1.4084,-0.0146,0.21
006810,泰康港股通中证香港银行投资指数C,香港股票,5,5,2024-07-04,1.0876,0.0112,21.33
010365,鹏华港股通中证香港银行投资指数（LOF）C,香港股票,5,0,2024-07-04,1.4063,0.0142,20.39
011997,景顺长城安盈回报一年持有期混合A,沪港深保守混合,5,0,2024-07-04,1.2207,0.0041,10.89
000673,融通四季添利债券（LOF）C,普通债券,5,0,2024-07-04,1.1160,0.0000,1.67
161603,融通债券 - A/B,普通债券,5,4,2024-07-04,1.1068,0.0001,2.53
001336,鹏华弘益灵活配置混合A,保守混合,5,5,2024-07-04,1.8748,0.0028,23.25
006445,华夏海外聚享混合（QDII）A 人民币,QDII 环球股债混合,5,4,2024-07-03,1.5918,0.0089,7.82
001337,鹏华弘益灵活配置混合C,保守混合,5,5,2024-07-04,1.8414,0.0027,23.23
004316,前海开源沪港深裕鑫灵活配置混合A,港股积极配置,5,5,2024-07-04,1.2634,0.0025,20.45
512040,富国中证价值ETF,中盘平衡股票,5,5,2024-07-04,0.8936,-0.0102,7.62
009908,湘财长泽灵活配置混合C,灵活配置,5,0,2024-07-04,1.1112,-0.0049,0.99
004317,前海开源沪港深裕鑫灵活配置混合C,港股积极配置,5,5,2024-07-04,1.2524,0.0025,20.42
003102,长盛盛裕纯债债券A,信用债,5,5,2024-07-04,1.0424,0.0001,3.39
002645,大成景荣债券C,普通债券,5,5,2024-07-04,1.1470,0.0002,2.78
004010,华泰柏瑞鼎利混合A,保守混合,5,5,2024-07-04,1.5618,-0.0012,3.67
008707,建信富时100指数（QDII）美元现汇 A,QDII环球股票,5,0,2024-07-03,$0.1579,0.0011,6.33
002252,融通成长30灵活配置混合A/B,积极配置 - 大盘平衡,5,5,2024-07-04,2.6690,0.0050,8.06
001247,华泰柏瑞新利灵活配置混合A,灵活配置,5,5,2024-07-04,1.5713,-0.0013,3.81
000744,北信瑞丰稳定收益债券A,积极债券,5,3,2024-07-04,1.2890,0.0000,3.53
011129,华安精致生活混合C,沪港深积极配置,5,0,2024-07-04,1.2272,-0.0062,11.61
011998,景顺长城安盈回报一年持有期混合C,沪港深保守混合,5,0,2024-07-04,1.2056,0.0041,10.68
