代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
014154,天弘华证沪深港长期竞争力指数C,沪港深股票,0,0,2024-07-04,0.7730,0.0000,5.33
014153,天弘华证沪深港长期竞争力指数A,沪港深股票,0,0,2024-07-04,0.7778,0.0001,5.48
013966,西部利得双瑞一年定开债券,普通债券（封闭式）,0,0,2024-07-04,1.0347,0.0002,2.93
013859,宝盈品质甄选混合A,沪港深积极配置,0,0,2024-07-04,1.2144,-0.0066,8.88
013109,华夏优势价值一年持有混合A,沪港深积极配置,0,0,2024-07-04,0.8510,-0.0111,-6.67
014141,大成新能源混合A,沪港深积极配置,0,0,2024-07-04,0.8169,-0.0028,-3.98
014242,农银悦利债券,纯债,0,0,2024-07-04,1.0346,0.0001,3.29
014448,安信永宁一年定开债券,纯债（封闭式）,0,0,2024-07-04,1.0409,0.0004,4.16
013860,宝盈品质甄选混合C,沪港深积极配置,0,0,2024-07-04,1.1905,-0.0065,8.43
013744,泰信汇利三个月定开债券C,纯债（封闭式）,0,0,2024-07-03,1.0521,0.0003,1.91
013110,华夏优势价值一年持有混合C,沪港深积极配置,0,0,2024-07-04,0.8371,-0.0110,-7.01
013629,广发集悦债券C,积极债券,0,0,2024-07-04,0.9658,-0.0024,-0.12
013388,长城价值领航混合C,沪港深积极配置,0,0,2024-07-04,0.6917,0.0001,7.24
014142,大成新能源混合C,沪港深积极配置,0,0,2024-07-04,0.8088,-0.0028,-4.18
013279,国泰优选领航一年持有期混合（FOF）,积极配置 - 大盘平衡,0,0,2024-07-02,0.6872,-0.0066,-4.91
013743,泰信汇利三个月定开债券A,纯债（封闭式）,0,0,2024-07-03,1.0644,0.0003,1.99
013628,广发集悦债券A,积极债券,0,0,2024-07-04,0.9682,-0.0025,-0.07
014473,景顺远见成长混合C,沪港深积极配置,0,0,2024-07-04,0.9163,-0.0022,-8.92
013387,长城价值领航混合A,沪港深积极配置,0,0,2024-07-04,0.7005,0.0001,7.52
